late_delivery_cost,intervention_cost,baseline_cost,decision_cost,cost_saving,saving_rate,economically_beneficial
50,0,4948850,3614385.640561299,1334464.359438701,0.26965140576875457,True
50,5,4948850,4513825.640561299,435024.3594387006,0.08790413114939846,True
50,10,4948850,5413265.640561299,-464415.6405612994,-0.09384314346995755,False
50,20,4948850,7212145.640561299,-2263295.6405612994,-0.4573376927086696,False
50,30,4948850,9011025.6405613,-4062175.6405612994,-0.8208322419473816,False
50,50,4948850,12608785.6405613,-7659935.640561299,-1.5478213404248056,False
50,100,4948850,21603185.640561298,-16654335.640561298,-3.3652940866183654,False
100,0,9897700,7228771.281122598,2668928.718877402,0.26965140576875457,True
100,5,9897700,8128211.281122598,1769488.7188774021,0.17877776845907656,True
100,10,9897700,9027651.281122599,870048.7188774012,0.08790413114939846,True
100,20,9897700,10826531.281122599,-928831.2811225988,-0.09384314346995755,False
100,30,9897700,12625411.281122599,-2727711.281122599,-0.27559041808931356,False
100,50,9897700,16223171.281122599,-6325471.281122599,-0.6390849673280256,False
100,100,9897700,25217571.2811226,-15319871.281122599,-1.5478213404248056,False
150,0,14846550,10843156.921683896,4003393.0783161037,0.2696514057687546,True
150,5,14846550,11742596.921683896,3103953.0783161037,0.20906898089563594,True
150,10,14846550,12642036.921683896,2204513.0783161037,0.14848655602251726,True
150,20,14846550,14440916.921683896,405633.07831610367,0.02732170627627992,True
150,30,14846550,16239796.921683896,-1393246.9216838963,-0.09384314346995742,False
150,50,14846550,19837556.921683896,-4991006.921683896,-0.3361728429624321,False
150,100,14846550,28831956.921683896,-13985406.921683896,-0.9419970916936188,False
200,0,19795400,14457542.562245196,5337857.437754804,0.26965140576875457,True
200,5,19795400,15356982.562245196,4438417.437754804,0.22421458711391556,True
200,10,19795400,16256422.562245196,3538977.4377548043,0.17877776845907656,True
200,20,19795400,18055302.562245198,1740097.4377548024,0.08790413114939846,True
200,30,19795400,19854182.562245198,-58782.562245197594,-0.0029695061602795394,False
200,50,19795400,23451942.562245198,-3656542.5622451976,-0.18471678077963555,False
200,100,19795400,32446342.562245198,-12650942.562245198,-0.6390849673280256,False
300,0,29693100,21686313.843367793,8006786.156632207,0.2696514057687546,True
300,5,29693100,22585753.843367793,7107346.156632207,0.23936019333219527,True
300,10,29693100,23485193.843367793,6207906.156632207,0.20906898089563594,True
300,20,29693100,25284073.843367793,4409026.156632207,0.14848655602251726,True
300,30,29693100,27082953.843367793,2610146.1566322073,0.08790413114939859,True
300,50,29693100,30680713.843367793,-987613.8433677927,-0.03326071859683875,False
300,100,29693100,39675113.84336779,-9982013.843367793,-0.3361728429624321,False
500,0,49488500,36143856.40561299,13344643.59438701,0.26965140576875457,True
500,5,49488500,37043296.40561299,12445203.59438701,0.25147667830681897,True
500,10,49488500,37942736.40561299,11545763.59438701,0.23330195084488334,True
500,20,49488500,39741616.40561299,9746883.59438701,0.19695249592101216,True
500,30,49488500,41540496.40561299,7948003.59438701,0.16060304099714096,True
500,50,49488500,45138256.40561299,4350243.59438701,0.08790413114939855,True
500,100,49488500,54132656.40561299,-4644156.40561299,-0.09384314346995747,False
1000,0,98977000,72287712.81122598,26689287.18877402,0.26965140576875457,True
1000,5,98977000,73187152.81122598,25789847.18877402,0.26056404203778677,True
1000,10,98977000,74086592.81122598,24890407.18877402,0.25147667830681897,True
1000,20,98977000,75885472.81122598,23091527.18877402,0.23330195084488334,True
1000,30,98977000,77684352.81122598,21292647.18877402,0.21512722338294776,True
1000,50,98977000,81282112.81122598,17694887.18877402,0.17877776845907656,True
1000,100,98977000,90276512.81122598,8700487.18877402,0.08790413114939855,True
