late_delivery_cost,intervention_cost,baseline_cost,decision_cost,cost_saving,saving_rate,economically_beneficial
50,0,4948845.225496745,3881277.557548388,1067567.6679483568,0.21572056091958278,True
50,5,4948845.225496745,4780717.557548388,168127.66794835683,0.033973110955693886,True
50,10,4948845.225496745,5680157.557548388,-731312.3320516432,-0.147774339008195,False
50,20,4948845.225496745,7479037.557548389,-2530192.332051644,-0.511269238935973,False
50,30,4948845.225496745,9277917.557548389,-4329072.332051644,-0.8747641388637507,False
50,50,4948845.225496745,12875677.557548389,-7926832.332051644,-1.6017539387193063,False
50,100,4948845.225496745,21870077.55754839,-16921232.332051642,-3.4192284383581946,False
100,0,9897690.45099349,7762555.115096776,2135135.3358967137,0.21572056091958278,True
100,5,9897690.45099349,8661995.115096776,1235695.3358967137,0.12484683593763833,True
100,10,9897690.45099349,9561435.115096776,336255.33589671366,0.033973110955693886,True
100,20,9897690.45099349,11360315.115096776,-1462624.6641032863,-0.147774339008195,False
100,30,9897690.45099349,13159195.115096776,-3261504.6641032863,-0.3295217889720839,False
100,50,9897690.45099349,16756955.115096776,-6859264.664103286,-0.6930166888998617,False
100,100,9897690.45099349,25751355.115096778,-15853664.664103288,-1.6017539387193063,False
150,0,14846535.676490234,11643832.672645165,3202703.0038450696,0.2157205609195827,True
150,5,14846535.676490234,12543272.672645165,2303263.0038450696,0.1551380775982864,True
150,10,14846535.676490234,13442712.672645165,1403823.0038450696,0.09455559427699012,True
150,20,14846535.676490234,15241592.672645165,-395056.99615493044,-0.02660937236560247,False
150,30,14846535.676490234,17040472.672645163,-2193936.9961549286,-0.14777433900819492,False
150,50,14846535.676490234,20638232.672645163,-5791696.996154929,-0.3901042722933801,False
150,100,14846535.676490234,29632632.672645163,-14786096.996154929,-0.9959291055063431,False
200,0,19795380.90198698,15525110.230193552,4270270.671793427,0.21572056091958278,True
200,5,19795380.90198698,16424550.230193553,3370830.6717934255,0.17028369842861046,True
200,10,19795380.90198698,17323990.23019355,2471390.6717934273,0.12484683593763833,True
200,20,19795380.90198698,19122870.23019355,672510.6717934273,0.033973110955693886,True
200,30,19795380.90198698,20921750.23019355,-1126369.3282065727,-0.05690061402625056,False
200,50,19795380.90198698,24519510.23019355,-4724129.328206573,-0.23864806399013944,False
200,100,19795380.90198698,33513910.23019355,-13718529.328206573,-0.6930166888998617,False
300,0,29693071.35298047,23287665.34529033,6405406.007690139,0.2157205609195827,True
300,5,29693071.35298047,24187105.34529033,5505966.007690139,0.18542931925893455,True
300,10,29693071.35298047,25086545.34529033,4606526.007690139,0.1551380775982864,True
300,20,29693071.35298047,26885425.34529033,2807646.007690139,0.09455559427699012,True
300,30,29693071.35298047,28684305.34529033,1008766.0076901391,0.033973110955693823,True
300,50,29693071.35298047,32282065.34529033,-2588993.992309861,-0.08719185568689877,False
300,100,29693071.35298047,41276465.345290326,-11583393.992309857,-0.3901042722933801,False
500,0,49488452.25496745,38812775.57548388,10675676.67948357,0.21572056091958278,True
500,5,49488452.25496745,39712215.57548388,9776236.67948357,0.1975458159231939,True
500,10,49488452.25496745,40611655.57548388,8876796.67948357,0.17937107092680502,True
500,20,49488452.25496745,42410535.57548388,7077916.67948357,0.14302158093402723,True
500,30,49488452.25496745,44209415.57548388,5279036.67948357,0.10667209094124946,True
500,50,49488452.25496745,47807175.57548388,1681276.6794835702,0.03397311095569392,True
500,100,49488452.25496745,56801575.57548388,-7313123.32051643,-0.14777433900819495,False
1000,0,98976904.5099349,77625551.15096776,21351353.35896714,0.21572056091958278,True
1000,5,98976904.5099349,78524991.15096776,20451913.35896714,0.20663318842138834,True
1000,10,98976904.5099349,79424431.15096776,19552473.35896714,0.1975458159231939,True
1000,20,98976904.5099349,81223311.15096776,17753593.35896714,0.17937107092680502,True
1000,30,98976904.5099349,83022191.15096776,15954713.35896714,0.16119632593041613,True
1000,50,98976904.5099349,86619951.15096776,12356953.35896714,0.12484683593763836,True
1000,100,98976904.5099349,95614351.15096776,3362553.3589671403,0.03397311095569392,True
