model,threshold,precision,recall,f1,roc_auc,pr_auc,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std
Logistic Regression,0.2,0.5482913155955883,1.0,0.7082534275982483,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Logistic Regression,0.25,0.5482913155955883,1.0,0.7082534275982483,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Logistic Regression,0.3,0.5491238892315901,0.9983228426806228,0.7085257421482862,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Logistic Regression,0.35,0.7856274789994524,0.5943502025723147,0.6767324682495859,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Logistic Regression,0.4,0.7998667628934658,0.5822766905442679,0.6739441849043145,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Logistic Regression,0.45,0.8488021577026813,0.5405296179920588,0.6604652885369151,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Logistic Regression,0.5,0.8488021577026813,0.5405296179920588,0.6604652885369151,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Logistic Regression,0.55,0.8488021577026813,0.5405296179920588,0.6604652885369151,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Logistic Regression,0.6,0.8488021577026813,0.5405296179920588,0.6604652885369151,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
Logistic Regression,0.65,0.8488021577026813,0.5405296179920588,0.6604652885369151,0.7316072695708691,0.7998833294460225,0.7295668931470229,0.0019522268720458132,0.7987623172693123,0.002378199219966633
