feature_group,model,n_features,accuracy,precision,recall,f1,roc_auc
All Features,CART,5,0.6969033902060714,0.8481868953040195,0.5447060012123661,0.6633855240087361,0.7322656806440657
All Features,Random Forest,5,0.6968202969200089,0.8497470755611761,0.543089513032936,0.6626602564102564,0.7315602264882523
All Features,Logistic Regression,5,0.6967372036339464,0.8501543576347661,0.5425338452212568,0.6623701008356718,0.7302437616942755
Shipping Mode Only,Logistic Regression,1,0.6967372036339464,0.8501543576347661,0.5425338452212568,0.6623701008356718,0.7295001980713457
Shipping Mode Only,CART,1,0.6967372036339464,0.8501543576347661,0.5425338452212568,0.6623701008356718,0.7295001980713457
Shipping Mode Only,Random Forest,1,0.6967372036339464,0.8501543576347661,0.5425338452212568,0.6623701008356718,0.7295001980713457
Without Shipping Mode,Logistic Regression,4,0.503074451584312,0.554173237544536,0.4792887452010507,0.5140179321179944,0.505445354363341
Numeric Only,Random Forest,2,0.4911921116773765,0.5527132929173444,0.3776520509193776,0.4487125622711722,0.5032864064326872
Numeric Only,Logistic Regression,2,0.5079215599379571,0.5501234567901234,0.5627399474641341,0.5563601857863457,0.5029874594545998
Without Shipping Mode,Random Forest,4,0.4997784179038333,0.5500923361034165,0.4815114164477672,0.5135222497575692,0.5019384749215112
Without Shipping Mode,CART,4,0.4692831819189009,0.5467668286934747,0.1875126288139018,0.2792552191085198,0.5011806516113612
Numeric Only,CART,2,0.4883392421892311,0.5506780050563089,0.3631036573045059,0.4376388931169898,0.5006190922117395
