experiment,sample_fraction,sample_size,model,mean_roc_auc,std_roc_auc
sample_size,0.5,90259,Logistic Regression,0.7295043729063246,0.002423800706930563
sample_size,0.5,90259,CART,0.7273190061312009,0.003560846216371336
sample_size,0.5,90259,Random Forest,0.7287608797125705,0.003249839478953186
sample_size,0.7,126363,Logistic Regression,0.7290306754370426,0.0028161299797645617
sample_size,0.7,126363,CART,0.727428680334552,0.0028181611704686783
sample_size,0.7,126363,Random Forest,0.7295952717864884,0.002706180276110058
sample_size,0.85,153441,Logistic Regression,0.7294023892973551,0.0011275023375014689
sample_size,0.85,153441,CART,0.7277894692817707,0.00124416982733808
sample_size,0.85,153441,Random Forest,0.7298908342906237,0.0027920193435199397
sample_size,1.0,180519,Logistic Regression,0.7295668931470229,0.0019522268720458132
sample_size,1.0,180519,CART,0.7301898515440267,0.0015496208127881836
sample_size,1.0,180519,Random Forest,0.7310430023616764,0.002113072851926818
