feature,mean_abs_shap,relative_importance
categorical__Shipping Mode_Standard Class,0.5800201869477726,0.39406864835350836
categorical__Shipping Mode_First Class,0.5287825801176156,0.35925755914870017
categorical__Shipping Mode_Second Class,0.15397841351967348,0.10461371286165082
categorical__Shipping Mode_Same Day,0.07062880194969452,0.04798556523628361
numeric__Product Price,0.02751330387583814,0.018692677796518054
numeric__Order Item Quantity,0.015848254408350904,0.01076738419454998
categorical__Order Region_South America,0.01024497391094549,0.006960487087093012
categorical__Market_Africa,0.008156606302501562,0.005541639572396338
categorical__Order Region_Oceania,0.005713591348159068,0.0038818428573350367
categorical__Order Region_Southern Europe,0.005481173179563655,0.0037239367781808654
categorical__Order Region_West of USA ,0.005367415870694201,0.00364664948722912
categorical__Order Region_Caribbean,0.005334223858132369,0.003624098666032354
categorical__Order Region_Western Europe,0.0048224803402622425,0.0032764175319463973
categorical__Order Region_East of USA,0.004816666189657882,0.00327246736862184
categorical__Order Region_South Asia,0.004224801903050156,0.0028703517790600896
categorical__Order Region_Canada,0.004199570163670218,0.002853209207720662
categorical__Order Region_East Africa,0.0028526743925429005,0.001938121409148936
categorical__Order Region_Central Africa,0.0027741569784400276,0.0018847762809206356
categorical__Market_Pacific Asia,0.0025883149897882526,0.0017585142939702963
categorical__Market_LATAM,0.0025162403961895936,0.0017095464505758914
categorical__Order Region_Central America,0.0024502143878968674,0.0016646880466279009
categorical__Order Region_South of  USA ,0.002314925741032918,0.0015727722557520702
categorical__Order Region_Eastern Asia,0.0023102785309067164,0.0015696149176899522
categorical__Order Region_West Africa,0.0022453270223892,0.0015254865343233164
categorical__Order Region_US Center ,0.002233896233685682,0.0015177203986691179
categorical__Order Region_West Asia,0.002067735431473423,0.0014048299093196233
categorical__Order Region_Northern Europe,0.0018492944019537002,0.001256419969140184
categorical__Order Region_Central Asia,0.0018019168675989753,0.0012242314326967629
categorical__Order Region_Southeast Asia,0.00177023348610937,0.0012027055830800813
categorical__Order Region_North Africa,0.0017635166297812802,0.0011981421169215605
categorical__Order Region_Eastern Europe,0.0014934342537963321,0.0010146467847874118
categorical__Market_USCA,0.0012882885124998792,0.0008752697306652404
categorical__Market_Europe,0.0012805142087511515,0.0008699878293813001
categorical__Order Region_Southern Africa,0.001141996399874281,0.0007758781295030214
