late_delivery_cost,intervention_cost,cost_saving,saving_rate,economically_beneficial
50,0,1067567.6679483568,0.2157205609195827,True
50,5,168127.66794835683,0.0339731109556938,True
50,10,-731312.3320516432,-0.147774339008195,False
50,20,-2530192.332051644,-0.511269238935973,False
50,30,-4329072.332051644,-0.8747641388637507,False
50,50,-7926832.332051644,-1.6017539387193065,False
50,100,-16921232.332051642,-3.4192284383581946,False
100,0,2135135.3358967137,0.2157205609195827,True
100,5,1235695.3358967137,0.1248468359376383,True
100,10,336255.33589671366,0.0339731109556938,True
100,20,-1462624.6641032863,-0.147774339008195,False
100,30,-3261504.6641032863,-0.3295217889720839,False
100,50,-6859264.664103286,-0.6930166888998617,False
100,100,-15853664.664103288,-1.6017539387193065,False
150,0,3202703.0038450696,0.2157205609195827,True
150,5,2303263.0038450696,0.1551380775982864,True
150,10,1403823.0038450696,0.0945555942769901,True
150,20,-395056.9961549304,-0.0266093723656024,False
150,30,-2193936.9961549286,-0.1477743390081949,False
150,50,-5791696.996154929,-0.3901042722933801,False
150,100,-14786096.996154929,-0.9959291055063432,False
200,0,4270270.671793427,0.2157205609195827,True
200,5,3370830.671793425,0.1702836984286104,True
200,10,2471390.671793428,0.1248468359376383,True
200,20,672510.6717934273,0.0339731109556938,True
200,30,-1126369.328206573,-0.0569006140262505,False
200,50,-4724129.328206573,-0.2386480639901394,False
200,100,-13718529.328206573,-0.6930166888998617,False
300,0,6405406.007690139,0.2157205609195827,True
300,5,5505966.007690139,0.1854293192589345,True
300,10,4606526.007690139,0.1551380775982864,True
300,20,2807646.007690139,0.0945555942769901,True
300,30,1008766.0076901392,0.0339731109556938,True
300,50,-2588993.992309861,-0.0871918556868987,False
300,100,-11583393.992309855,-0.3901042722933801,False
500,0,10675676.67948357,0.2157205609195827,True
500,5,9776236.67948357,0.1975458159231939,True
500,10,8876796.67948357,0.179371070926805,True
500,20,7077916.67948357,0.1430215809340272,True
500,30,5279036.67948357,0.1066720909412494,True
500,50,1681276.6794835702,0.0339731109556939,True
500,100,-7313123.32051643,-0.1477743390081949,False
1000,0,21351353.35896714,0.2157205609195827,True
1000,5,20451913.35896714,0.2066331884213883,True
1000,10,19552473.35896714,0.1975458159231939,True
1000,20,17753593.35896714,0.179371070926805,True
1000,30,15954713.35896714,0.1611963259304161,True
1000,50,12356953.35896714,0.1248468359376383,True
1000,100,3362553.3589671403,0.0339731109556939,True
