analysis,model,metric,mean,std,min,max
Cross-Validation,Random Forest,ROC-AUC,0.7310888094677951,0.0025548111805858,0.7274706188182003,0.7356790990787586
Cross-Validation,CART,ROC-AUC,0.7299614466616349,0.0025695504794307,0.7251065697604876,0.7346877463465232
Cross-Validation,Logistic Regression,ROC-AUC,0.7299265561919452,0.0030034885643207,0.7264007849528057,0.7372747419279264
Gradient Boosting,XGBoost,ROC-AUC,0.730333785293579,0.0041152191833682,,
Gradient Boosting,XGBoost,PR-AUC,0.8007834644536432,0.0031849928308433,,
Gradient Boosting,LightGBM,ROC-AUC,0.7299805318822024,0.0043862367354273,,
Gradient Boosting,LightGBM,PR-AUC,0.8005231670974765,0.0035037102716795,,
Random Seed Robustness,Logistic Regression,ROC-AUC,0.7296190666363049,0.0003337115967639,0.7290904233857525,0.7299775989820616
Random Seed Robustness,CART,ROC-AUC,0.7299856565114619,0.0003846080936457,0.7295707869321661,0.7304323345910572
Random Seed Robustness,Random Forest,ROC-AUC,0.7309586710647537,0.0002930163051945,0.7305280124402596,0.7313350170325157
