model,fold,roc_auc,pr_auc
XGBoost,1,0.7234731176027558,0.7941067116283762
XGBoost,2,0.7275499210750629,0.7987781289664049
XGBoost,3,0.7314082863804927,0.8007196812130827
XGBoost,4,0.7351894912166437,0.8037146079335089
XGBoost,5,0.7282680938902933,0.7996995871046062
XGBoost,6,0.7267867363675077,0.7994651059917255
XGBoost,7,0.7252047576499706,0.7976036451758447
XGBoost,8,0.7308907959943537,0.8012564656191757
XGBoost,9,0.7287189030469419,0.7977790611945474
XGBoost,10,0.7283572256716588,0.8007548730131231
XGBoost,11,0.7361469242468953,0.8036443392196675
XGBoost,12,0.7279489364070232,0.8035271953291443
XGBoost,13,0.7356996991752357,0.8059166278665449
XGBoost,14,0.7338238241302635,0.7996267153951677
XGBoost,15,0.7355400665485852,0.8051592211537295
LightGBM,1,0.7216320560853487,0.7923848770018745
LightGBM,2,0.7290746751499986,0.7993258377491592
LightGBM,3,0.7307356896561914,0.8001619637345878
LightGBM,4,0.7327745825426087,0.802462833751714
LightGBM,5,0.7269602134959018,0.7994004642564689
LightGBM,6,0.7262310129938077,0.7993929603428528
LightGBM,7,0.7237428581113756,0.7969867036967344
LightGBM,8,0.7296937118150999,0.7999769291616979
LightGBM,9,0.7293840566741387,0.7978803188671579
LightGBM,10,0.7291553330429249,0.8015332894164148
LightGBM,11,0.7362644565737917,0.8041149944363082
LightGBM,12,0.7286815513252283,0.8032615704995709
LightGBM,13,0.7358680864337556,0.8056599290507109
LightGBM,14,0.7330494016627331,0.799404027124802
LightGBM,15,0.7364602926701316,0.8059008073720924
